Cost,Het,R,WW,RW,RR
0.152,0,8.57894661744301e-08,0.999999894210537,3.99999929361165e-08,6.57894697063718e-08
0.153,0,8.53594719955178e-08,0.999999894640531,3.99999942230461e-08,6.53594748839947e-08
0.154,0,8.49350601471549e-08,0.999999895064942,3.99999947728688e-08,6.49350627607205e-08
0.155,0,8.45161233703364e-08,0.99999989548388,3.99999937230511e-08,6.45161265088108e-08
0.156,0,8.41025605665191e-08,0.999999895897442,3.99999949947903e-08,6.41025630691239e-08
0.157,0,8.36942520995087e-08,0.999999896305753,3.99999892550209e-08,6.36942574719983e-08
0.158,0,8.32911246474282e-08,0.999999896708881,3.99999896720304e-08,6.3291129811413e-08
0.159,0,8.28930857504044e-08,0.999999897106915,3.99999987234299e-08,6.28930863886895e-08
0.16,0,8.25000084810927e-08,0.999999897499991,4.00000010194636e-08,6.25000079713609e-08
0.161,0,8.21118023171251e-08,0.999999897888199,3.99999972293483e-08,6.2111803702451e-08
0.162,0,8.17283906795989e-08,0.999999898271612,3.99999942878418e-08,6.1728393535678e-08
0.163,0,8.13496951041554e-08,0.999999898650306,3.99999972837256e-08,6.13496964622926e-08
0.164,0,8.09756150933381e-08,0.999999899024385,3.99999991015778e-08,6.09756155425492e-08
0.165,0,8.06060502954315e-08,0.999999899393954,3.99999914580043e-08,6.06060545664294e-08
0.166,0,8.02409716545959e-08,0.999999899759028,4.00000009465056e-08,6.02409711813431e-08
0.167,0,7.98802324806277e-08,0.999999900119771,3.99999932405657e-08,5.98802358603449e-08
0.168,0,7.95238002195003e-08,0.999999900476204,3.99999923354648e-08,5.95238040517679e-08
0.169,0,7.91716062926791e-08,0.999999900828393,4.00000015814633e-08,5.91716055019475e-08
0.17,0,7.88235313846239e-08,0.99999990117647,3.99999980240169e-08,5.88235323726155e-08
0.171,0,7.84795198779744e-08,0.999999901520485,3.99999906675647e-08,5.8479524544192e-08
0.172,0,7.8139531296183e-08,0.999999901860471,3.99999949308779e-08,5.81395338307441e-08
0.173,0,7.78034628339319e-08,0.99999990219654,3.99999942127092e-08,5.78034657275772e-08
0.174,0,7.74712637298539e-08,0.999999902528738,3.99999963229322e-08,5.74712655683878e-08
0.175,0,7.71428690199729e-08,0.999999902857129,4.00000031524599e-08,5.71428674437429e-08
0.176,0,7.68181838081917e-08,0.999999903181817,3.99999981492896e-08,5.68181847335469e-08
0.177,0,7.64971782918403e-08,0.999999903502822,3.99999989025908e-08,5.64971788405449e-08
0.178,0,7.61797722180259e-08,0.99999990382023,3.99999955522743e-08,5.61797744418887e-08
0.179,0,7.58659196910542e-08,0.999999904134082,3.99999961891554e-08,5.58659215964766e-08
0.18,0,7.55555433379753e-08,0.999999904444461,3.99999906629337e-08,5.55555480065085e-08
0.181,0,7.52486101305133e-08,0.999999904751393,3.99999926445912e-08,5.52486138082177e-08
0.182,0,7.49450546541135e-08,0.999999905054947,3.99999970801481e-08,5.49450561140394e-08
0.183,0,7.4644816521237e-08,0.999999905355183,4.00000008387451e-08,5.46448161018645e-08
0.184,0,7.43478289420892e-08,0.999999905652172,3.99999984006669e-08,5.43478297417557e-08
0.185,0,7.4054048601212e-08,0.999999905945954,3.99999940179151e-08,5.40540515922544e-08
0.186,0,7.37634343325139e-08,0.999999906236569,3.99999933467678e-08,5.376343765913e-08
0.187,0,7.34759382975375e-08,0.999999906524062,3.99999986519242e-08,5.34759389715754e-08
0.188,0,7.31914916596958e-08,0.999999906808509,3.99999982573258e-08,5.31914925310329e-08
0.189,0,7.29100504741328e-08,0.999999907089952,3.99999957854518e-08,5.29100525814069e-08
0.19,0,7.26315782720507e-08,0.999999907368423,3.99999967406878e-08,5.26315799017068e-08
0.191,0,7.23560235037526e-08,0.999999907643977,3.9999998623268e-08,5.23560241921186e-08
0.192,0,7.20833342667498e-08,0.999999907916667,3.99999975718436e-08,5.2083335480828e-08
0.193,0,7.18134733258769e-08,0.999999908186528,3.99999982433278e-08,5.1813474204213e-08
0.194,0,7.15463920951963e-08,0.999999908453609,3.99999972188116e-08,5.15463934857905e-08
0.195,0,7.12820460241638e-08,0.999999908717957,3.99999940655612e-08,5.12820489913832e-08
0.196,0,7.10204073127375e-08,0.999999908979594,3.99999966276832e-08,5.10204089988959e-08
0.197,0,7.07614150038808e-08,0.999999909238588,3.99999937780252e-08,5.07614181148682e-08
0.198,0,7.05050444537175e-08,0.999999909494959,3.9999993935628e-08,5.05050474859035e-08
0.199,0,7.02512500604477e-08,0.999999909748753,3.99999935502769e-08,5.02512532853092e-08
0.2,0,6.99999957022818e-08,0.999999910000007,3.99999947141574e-08,4.99999983452031e-08
0.201,0,6.97512432823879e-08,0.999999910248758,3.99999970060218e-08,4.9751244779377e-08
0.202,0,6.95049480864235e-08,0.999999910495054,3.99999959299739e-08,4.95049501214366e-08
0.203,0,6.92610782883349e-08,0.999999910738924,3.9999994093125e-08,4.92610812417724e-08
0.204,0,6.90196061805495e-08,0.999999910980396,3.99999964021265e-08,4.90196079794863e-08
0.205,0,6.87804842723068e-08,0.999999911219518,3.9999995143191e-08,4.87804867007112e-08
0.206,0,6.85436885795416e-08,0.999999911456313,3.99999968643957e-08,4.85436901473437e-08
0.207,0,6.83091766071938e-08,0.999999911690825,3.99999961750611e-08,4.83091785196633e-08
0.208,0,6.80769218373879e-08,0.99999991192308,3.99999964960796e-08,4.80769235893481e-08
0.209,0,6.78468877619721e-08,0.999999912153114,3.99999959998613e-08,4.78468897620414e-08
0.21,0,6.76190479569103e-08,0.999999912380953,3.99999975787072e-08,4.76190491675567e-08
0.211,0,6.73933648912121e-08,0.999999912606636,3.99999973787932e-08,4.73933662018154e-08
0.212,0,6.71698078054784e-08,0.999999912830195,3.99999952765388e-08,4.7169810167209e-08
0.213,0,6.6948352474805e-08,0.99999991305165,3.99999948225578e-08,4.69483550635261e-08
0.214,0,6.67289688040454e-08,0.999999913271033,3.99999955371778e-08,4.67289710354565e-08
0.215,0,6.65116254654939e-08,0.999999913488376,3.99999960144543e-08,4.65116274582667e-08
0.216,0,6.62962972792179e-08,0.999999913703704,3.99999981764485e-08,4.62962981909937e-08
0.217,0,6.6082948427912e-08,0.999999913917053,3.99999969259883e-08,4.60829499649179e-08
0.218,0,6.58715544304868e-08,0.999999914128448,3.9999994134831e-08,4.58715573630713e-08
0.219,0,6.56620991250976e-08,0.999999914337903,3.99999966081204e-08,4.56621008210375e-08
0.22,0,6.545454611417e-08,0.999999914545455,3.99999977666879e-08,4.54545472308261e-08
0.221,0,6.52488673139973e-08,0.999999914751134,3.99999964521495e-08,4.52488690879225e-08
0.222,0,6.50450439374862e-08,0.999999914954958,3.99999967625243e-08,4.50450455562241e-08
0.223,0,6.48430463434128e-08,0.999999915156956,3.99999956163777e-08,4.48430485352239e-08
0.224,0,6.46428536305325e-08,0.999999915357149,3.99999952688884e-08,4.46428559960883e-08
0.225,0,6.44444417646305e-08,0.99999991555556,3.99999957745207e-08,4.44444438773701e-08
0.226,0,6.42477799864512e-08,0.999999915752224,3.99999928344357e-08,4.42477835692334e-08
0.227,0,6.40528590548448e-08,0.999999915947144,3.99999949177804e-08,4.40528615959546e-08
0.228,0,6.3859647588225e-08,0.999999916140354,3.99999965701033e-08,4.38596493031734e-08
0.229,0,6.36681185708757e-08,0.999999916331884,3.99999951607278e-08,4.36681209905118e-08
0.23,0,6.34782614277789e-08,0.99999991652174,3.99999980263596e-08,4.34782624145991e-08
0.231,0,6.32900438774225e-08,0.999999916709957,3.99999979827918e-08,4.32900448860266e-08
0.232,0,6.31034437669479e-08,0.999999916896559,3.99999946806678e-08,4.3103446426614e-08
0.233,0,6.29184516377986e-08,0.999999917081551,3.99999955000661e-08,4.29184538877655e-08
0.234,0,6.27350408955243e-08,0.999999917264961,3.99999964013935e-08,4.27350426948276e-08
0.235,0,6.25531899428729e-08,0.999999917446812,3.99999965080878e-08,4.2553191688829e-08
0.236,0,6.23728796407628e-08,0.999999917627122,3.9999996612146e-08,4.23728813346898e-08
0.237,0,6.21940903264504e-08,0.999999917805912,3.99999960978358e-08,4.21940922775325e-08
0.238,0,6.20168027630419e-08,0.9999999179832,3.99999949833789e-08,4.20168052713525e-08
0.239,0,6.18409999453356e-08,0.999999918159003,3.9999994925253e-08,4.18410024827091e-08
0.24,0,6.1666665574547e-08,0.999999918333336,3.99999969008283e-08,4.16666671241329e-08
0.241,0,6.14937731376474e-08,0.999999918506229,3.99999959559229e-08,4.14937751596859e-08
0.242,0,6.13223111326018e-08,0.999999918677691,3.9999995711656e-08,4.13223132767738e-08
0.243,0,6.11522619353913e-08,0.99999991884774,3.9999996818023e-08,4.11522635263798e-08
0.244,0,6.09836079825121e-08,0.999999919016393,3.99999985796768e-08,4.09836086926737e-08
